Reset Time = 2022/02/26 11:50:18

YPP_Recv_No_recommand = 60, YPP_Recv_No = 60

Command Recv Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
Ack Send Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000

Recv Command Data Error Log =>
    [ 0] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 1] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 2] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 3] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0

Recv Command Data Store And Analize Log =>
    [  0], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0001],    8, 1024 -> 1016
    [  1], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1016 -> 1024
    [  2], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0002],    4, 1024 -> 1020
    [  3], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1020 -> 1024
    [  4], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0003],    4, 1024 -> 1020
    [  5], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1020 -> 1024
    [  6], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0004],    4, 1024 -> 1020
    [  7], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1020 -> 1024
    [  8], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0005],   20, 1024 -> 1004
    [  9], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1004 -> 1008
    [ 10], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1008 -> 1016
    [ 11], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0, 1016 -> 1024
    [ 12], 2022/02/26, 10:11:25, 0, 0, [    1], [0x0006],  148, 1024 ->  876
    [ 13], 2022/02/26, 10:11:25, 1, 0, [-----], [------],    0,  876 ->  884
